Line Number,Haughton Value,Pitcaple Value,Shift Value,Area
1,290.60625,61.92777777777778,-22464.0,2352400.0
2,400.44125,83.76444444444445,-5184.0,2704000.0
3,221.959375,105.60111111111112,12096.000000000002,2387200.0
4,331.794375,49.79629629629631,29376.000000000007,2421300.0
5,276.876875,71.63296296296296,-36288.0,2463800.0
6,386.711875,93.46962962962962,-19008.0,2667400.0
7,249.418125,57.07518518518519,-1727.9999999999968,2134400.0
8,359.253125,78.91185185185185,15551.999999999996,2565400.0
9,304.335625,100.74851851851852,32832.0,2640000.0
10,414.170625,64.35407407407408,-32832.0,2616400.0
11,215.0946875,86.19074074074074,-15552.0,2369400.0
12,324.9296875,108.0274074074074,1728.0000000000016,2630600.0
13,270.0121875,52.2225925925926,19008.0,2183200.0
14,379.8471875,74.05925925925926,36288.0,2583600.0
15,242.5534375,95.89592592592592,-29376.0,2492900.0
16,352.3884375,59.50148148148149,-12096.000000000002,2522500.0
17,297.4709375,81.33814814814815,5184.000000000005,2445600.0
18,407.3059375,103.1748148148148,22464.0,2664000.0
19,228.8240625,66.78037037037038,39744.00000000001,2251100.0
20,338.6590625,88.61703703703704,-42508.8,2627400.0
21,283.7415625,110.4537037037037,-25228.8,2507000.0
22,393.5765625,48.17876543209877,-7948.799999999997,2429000.0
23,256.2828125,70.01543209876543,9331.2,2363300.0
24,366.1178125,91.85209876543207,26611.200000000004,2694800.0
25,311.2003125,55.45765432098766,-39052.8,2402000.0
26,421.0353125,77.29432098765432,-21772.8,2550100.0
27,211.66234375,99.130987654321,-4492.799999999999,2227400.0
