Value,Type,Category
2569000.0,True MC Data,Data
2534000.0,True MC Data,Data
2288900.0,True MC Data,Data
2301500.0,True MC Data,Data
2348400.0,True MC Data,Data
2445300.0,True MC Data,Data
2552000.0,True MC Data,Data
2450200.0,True MC Data,Data
2282200.0,True MC Data,Data
2539400.0,True MC Data,Data
2593800.0,True MC Data,Data
2279600.0,True MC Data,Data
2387600.0,True MC Data,Data
2460000.0,True MC Data,Data
2517200.0,True MC Data,Data
2450100.0,True MC Data,Data
2465100.0,True MC Data,Data
2212600.0,True MC Data,Data
2565800.0,True MC Data,Data
2523500.0,True MC Data,Data
2604200.0,True MC Data,Data
2412500.0,True MC Data,Data
2602200.0,True MC Data,Data
2646200.0,True MC Data,Data
2303000.0,True MC Data,Data
2440000.0,True MC Data,Data
2381800.0,True MC Data,Data
2367600.0,True MC Data,Data
2431000.0,True MC Data,Data
2309400.0,True MC Data,Data
2421900.0,True MC Data,Data
2417500.0,True MC Data,Data
2395600.0,True MC Data,Data
2384100.0,True MC Data,Data
2433100.0,True MC Data,Data
2406900.0,True MC Data,Data
2415100.0,True MC Data,Data
2222300.0,True MC Data,Data
2547200.0,True MC Data,Data
2451100.0,True MC Data,Data
2517800.0,True MC Data,Data
2436800.0,True MC Data,Data
2319100.0,True MC Data,Data
2565200.0,True MC Data,Data
2481500.0,True MC Data,Data
2637000.0,True MC Data,Data
2430500.0,True MC Data,Data
2492400.0,True MC Data,Data
2353400.0,True MC Data,Data
2422200.0,True MC Data,Data
2574500.0,True MC Data,Data
2380600.0,True MC Data,Data
2172100.0,True MC Data,Data
2645900.0,True MC Data,Data
2564600.0,True MC Data,Data
2246800.0,True MC Data,Data
2594900.0,True MC Data,Data
2463300.0,True MC Data,Data
2474200.0,True MC Data,Data
2470400.0,True MC Data,Data
2598900.0,True MC Data,Data
2442600.0,True MC Data,Data
2586400.0,True MC Data,Data
2533200.0,True MC Data,Data
2506800.0,True MC Data,Data
2529200.0,True MC Data,Data
2391200.0,True MC Data,Data
2430600.0,True MC Data,Data
2458400.0,True MC Data,Data
2276500.0,True MC Data,Data
2450000.0,True MC Data,Data
2296700.0,True MC Data,Data
2389400.0,True MC Data,Data
2541700.0,True MC Data,Data
2461600.0,True MC Data,Data
2394000.0,True MC Data,Data
2337900.0,True MC Data,Data
2429400.0,True MC Data,Data
2295800.0,True MC Data,Data
2432600.0,True MC Data,Data
2511300.0,True MC Data,Data
2461300.0,True MC Data,Data
2437300.0,True MC Data,Data
2318900.0,True MC Data,Data
2314500.0,True MC Data,Data
2481100.0,True MC Data,Data
2523200.0,True MC Data,Data
2496200.0,True MC Data,Data
2540400.0,True MC Data,Data
2587500.0,True MC Data,Data
2535400.0,True MC Data,Data
2508600.0,True MC Data,Data
2515200.0,True MC Data,Data
2380400.0,True MC Data,Data
2193800.0,True MC Data,Data
2219000.0,True MC Data,Data
2624600.0,True MC Data,Data
2645600.0,True MC Data,Data
2506100.0,True MC Data,Data
2337500.0,True MC Data,Data
2641600.0,True MC Data,Data
2519400.0,True MC Data,Data
2461600.0,True MC Data,Data
2387400.0,True MC Data,Data
2625600.0,True MC Data,Data
2477800.0,True MC Data,Data
2468700.0,True MC Data,Data
2506300.0,True MC Data,Data
2393100.0,True MC Data,Data
2253800.0,True MC Data,Data
2363100.0,True MC Data,Data
2305400.0,True MC Data,Data
2481800.0,True MC Data,Data
2350400.0,True MC Data,Data
2472200.0,True MC Data,Data
2546300.0,True MC Data,Data
2603600.0,True MC Data,Data
2380000.0,True MC Data,Data
2435600.0,True MC Data,Data
2501400.0,True MC Data,Data
2479700.0,True MC Data,Data
2311700.0,True MC Data,Data
2540300.0,True MC Data,Data
2594400.0,True MC Data,Data
2132400.0,True MC Data,Data
2521100.0,True MC Data,Data
2597500.0,True MC Data,Data
2334100.0,True MC Data,Data
2417400.0,True MC Data,Data
2296800.0,True MC Data,Data
2522400.0,True MC Data,Data
2371000.0,True MC Data,Data
2480100.0,True MC Data,Data
2379100.0,True MC Data,Data
2477100.0,True MC Data,Data
2590600.0,True MC Data,Data
2284500.0,True MC Data,Data
2581000.0,True MC Data,Data
2502200.0,True MC Data,Data
2477800.0,True MC Data,Data
2468200.0,True MC Data,Data
2252400.0,True MC Data,Data
2575100.0,True MC Data,Data
2526300.0,True MC Data,Data
2570400.0,True MC Data,Data
2588500.0,True MC Data,Data
2465000.0,True MC Data,Data
2447200.0,True MC Data,Data
2394700.0,True MC Data,Data
2465200.0,True MC Data,Data
2312600.0,True MC Data,Data
2260100.0,True MC Data,Data
2388800.0,True MC Data,Data
2317000.0,True MC Data,Data
2203600.0,True MC Data,Data
2515300.0,True MC Data,Data
2392800.0,True MC Data,Data
2449200.0,True MC Data,Data
2362900.0,True MC Data,Data
2402800.0,True MC Data,Data
2383900.0,True MC Data,Data
2355200.0,True MC Data,Data
2422600.0,True MC Data,Data
2479000.0,True MC Data,Data
2512000.0,True MC Data,Data
2376800.0,True MC Data,Data
2449400.0,True MC Data,Data
2652800.0,True MC Data,Data
2411600.0,True MC Data,Data
2646200.0,True MC Data,Data
2484700.0,True MC Data,Data
2418800.0,True MC Data,Data
2464400.0,True MC Data,Data
2583100.0,True MC Data,Data
2495800.0,True MC Data,Data
2595900.0,True MC Data,Data
2311100.0,True MC Data,Data
2413900.0,True MC Data,Data
2360600.0,True MC Data,Data
2311000.0,True MC Data,Data
2492600.0,True MC Data,Data
2340900.0,True MC Data,Data
2343300.0,True MC Data,Data
2495600.0,True MC Data,Data
2353200.0,True MC Data,Data
2489200.0,True MC Data,Data
2201100.0,True MC Data,Data
2373800.0,True MC Data,Data
2408800.0,True MC Data,Data
2333800.0,True MC Data,Data
2207800.0,True MC Data,Data
2340900.0,True MC Data,Data
2526400.0,True MC Data,Data
2398300.0,True MC Data,Data
2268400.0,True MC Data,Data
2597900.0,True MC Data,Data
2389200.0,True MC Data,Data
2265200.0,True MC Data,Data
2552000.0,True MC Data,Data
2454000.0,True MC Data,Data
2713400.0,True MC Data,Data
2489600.0,True MC Data,Data
2407400.0,True MC Data,Data
2468500.0,True MC Data,Data
2435200.0,True MC Data,Data
2393200.0,True MC Data,Data
2285600.0,True MC Data,Data
2270700.0,True MC Data,Data
2227300.0,True MC Data,Data
2266200.0,True MC Data,Data
2671000.0,True MC Data,Data
2239000.0,True MC Data,Data
2430900.0,True MC Data,Data
2582100.0,True MC Data,Data
2360600.0,True MC Data,Data
2645600.0,True MC Data,Data
2217800.0,True MC Data,Data
2589300.0,True MC Data,Data
2576600.0,True MC Data,Data
2325400.0,True MC Data,Data
2302400.0,True MC Data,Data
2445200.0,True MC Data,Data
2306200.0,True MC Data,Data
2337500.0,True MC Data,Data
2449800.0,True MC Data,Data
2569400.0,True MC Data,Data
2581400.0,True MC Data,Data
2304200.0,True MC Data,Data
2336000.0,True MC Data,Data
2421600.0,True MC Data,Data
2366000.0,True MC Data,Data
2372100.0,True MC Data,Data
2438000.0,True MC Data,Data
2183500.0,True MC Data,Data
2584500.0,True MC Data,Data
2373300.0,True MC Data,Data
2303800.0,True MC Data,Data
2497600.0,True MC Data,Data
2400600.0,True MC Data,Data
2198900.0,True MC Data,Data
2593600.0,True MC Data,Data
2501600.0,True MC Data,Data
2414000.0,True MC Data,Data
2706200.0,True MC Data,Data
2466000.0,True MC Data,Data
2487800.0,True MC Data,Data
2445600.0,True MC Data,Data
2377700.0,True MC Data,Data
2367400.0,True MC Data,Data
2304900.0,True MC Data,Data
2438800.0,True MC Data,Data
2219800.0,True MC Data,Data
2499500.0,True MC Data,Data
2448000.0,True MC Data,Data
2254000.0,True MC Data,Data
2521900.0,True MC Data,Data
2209000.0,True MC Data,Data
2456200.0,True MC Data,Data
2345100.0,True MC Data,Data
2604400.0,True MC Data,Data
2525600.0,True MC Data,Data
